position,class,rel_laps,lap_delta,gap,rel_pitstops_completed,laps_remaining_in_stint
1,HY,0,0.0,0,0,22
2,HY,0,-0.1869999999999976,-17,-2,26
3,HY,0,0.4159999999999968,-23,-2,26
4,HY,-1,2.043999999999997,20,-2,18
5,HY,-1,0.5289999999999964,17,-2,26
6,HY,-1,-1.0360000000000014,-9,-1,11
7,HY,-2,1.7660000000000053,12,-1,8
8,HY,-2,1.399000000000001,-36,-2,25
9,HY,-3,0.11700000000000443,45,0,26
10,HY,-3,0.32500000000000284,5,0,11
11,HY,-6,12.564000000000007,-1,1,19
12,HY,-7,-0.07699999999999818,32,-1,11
13,GT3,-15,12.341999999999999,-23,-1,22
14,GT3,-15,12.341999999999999,-24,-2,25
15,GT3,-16,13.266000000000005,63,-2,1
16,GT3,-16,14.474000000000004,57,-2,24
17,GT3,-16,21.108999999999995,52,-1,24
18,GT3,-16,15.361999999999995,-26,-2,1
19,GT3,-17,12.982,23,-2,21
20,GT3,-17,14.438000000000002,9,-2,19
21,GT3,-18,14.438000000000002,60,-2,25
22,GT3,-19,23.638999999999996,-39,-2,26
23,GT3,-20,25.081000000000003,-39,-1,26
24,GT3,-20,22.043000000000006,25,-2,26
25,GT3,-21,22.043000000000006,-2,0,25
26,GT3,-23,17.338000000000008,30,0,4
27,GT3,-23,15.135000000000005,-3,0,22
28,GT3,-24,12.822000000000003,12,0,17
29,GT3,-27,14.680999999999997,46,0,24
30,GT3,-29,13.756,17,-2,11
31,GT3,-46,18.236999999999995,63,-2,19
