position,class,current_lap_elapsed,last_lap_time,laps_completed,num_pitstops,laps_remaining_in_stint
1,HY,17,90.542,180,6,0
2,HY,103,92.03,179,6,2
3,HY,20,91.345,179,7,15
4,HY,24,92.5,178,9,18
5,HY,92,91.5,177,7,0
6,HY,89,92.2,177,7,24
7,HY,0,104.3,177,6,29
8,HY,0,102.4,176,5,29
9,HY,90,92.2,174,9,16
10,HY,30,93.8,174,9,16
11,HY,81,109.1,170,8,18
12,HY,102,109.1,169,9,28
13,GT3,41,104.3,158,6,1
14,GT3,0,112.8,157,7,26
15,GT3,30,104.0,157,6,2
16,GT3,51,106.7,156,6,4
17,GT3,49,105.9,155,5,3
18,GT3,47,105.6,155,6,0
19,GT3,24,104.6,155,7,8
20,GT3,0,105.7,154,7,11
21,GT3,56,106.7,154,7,22
22,GT3,74,105.6,153,6,4
23,GT3,20,106.7,153,5,3
24,GT3,103,107.6,151,7,3
25,GT3,38,105.5,147,11,5
26,GT3,62,105.5,146,8,23
27,GT3,53,107.1,146,7,3
28,GT3,97,109.4,145,10,14
29,GT3,19,106.6,145,7,3
30,GT3,104,106.6,136,6,25
31,GT3,108,107.2,125,6,0
