position,class,current_lap_elapsed,last_lap_time,laps_completed,laps_since_pitstop,num_pitstops
1,HY,17,90.542,180,29,6
2,HY,103,92.03,179,27,6
3,HY,20,91.345,179,14,7
4,HY,24,92.5,178,11,9
5,HY,92,91.5,177,29,7
6,HY,89,92.2,177,5,7
7,HY,0,104.3,177,0,6
8,HY,0,102.4,176,0,5
9,HY,90,92.2,174,13,9
10,HY,30,93.8,174,13,9
11,HY,81,109.1,170,11,8
12,HY,102,109.1,169,1,9
13,GT3,41,104.3,158,25,6
14,GT3,0,112.8,157,0,7
15,GT3,30,104,157,24,6
16,GT3,51,106.7,156,22,6
17,GT3,49,105.9,155,23,5
18,GT3,47,105.6,155,26,6
19,GT3,24,104.6,155,18,7
20,GT3,0,105.7,154,15,7
21,GT3,56,106.7,154,4,7
22,GT3,74,105.6,153,22,6
23,GT3,20,106.7,153,23,5
24,GT3,103,107.6,151,23,7
25,GT3,38,105.5,147,21,11
26,GT3,62,105.5,146,3,8
27,GT3,53,107.1,146,23,7
28,GT3,97,109.4,145,12,10
29,GT3,19,106.6,145,23,7
30,GT3,104,106.6,136,1,6
31,GT3,108,107.2,125,26,6
